author_id,title,content,publication_date,url,category_id,sourse_id,sourse_type
Redacción UH,"Michelle Sol sería alcaldesa de La Libertad Este, según encuesta UFG","Según el estudio presentando este martes, por la casa encuestadora de la Universidad Francisco Gavidia (UFG), la candidata de Nuevas Ideas, Michelle Sol ganaría la alcaldía de La Libertad Este, en las próximas elecciones.  El estudio revela que la intención de voto se decanta por Sol con el 45 %, mientras que Milagro Navas de ARENA, obtendría solo 26.8 %, los demás partidos contendientes no tendrían ni la más mínima oportunidad de disputarse la comuna.  Navas ha sido alcaldesa por varios periodos en la alcaldía de Antiguo Cuscatlán, pero los habitantes han demostrado su descontento con su gestión municipal, por lo que le darían la oportunidad a Nuevas Ideas.   #ClasePolítica | La encuesta de UFG reveló que la candidata de @nuevasideas, @misol140, ganaría la alcaldía de La Libertad Este. Vía: @Frentea_Frente. pic.twitter.com/hDbEMOHdSY— Última Hora (@ultimahsv) 16 de enero de 2024 ",2024-01-16 10:01:00,https://ultimahora.sv/michelle-sol-seria-alcaldesa-de-la-libertad-este-segun-encuesta-ufg1/,Clase políticaLo Último,Última Hora SV,Web Page
Redacción UH,Ronal Umaña: Joel Sánchez tiene ventaja con el voto en el exterior,"El lunes, el opositor Ronal Umaña expresó que sí habría segunda vuelta para las elecciones presidenciales y afirmó que el candidato de ARENA, Joel Sánchez, tiene «cierta ventaja» con respecto al voto en el exterior. «Sí sería una segunda vuelta. No debemos olvidar que Joel Sánchez es diáspora (…) eso le ha dado cierta ventaja con el voto en el extranjero», expresó Umaña. Sin embargo, de acuerdo a diferentes estudios electorales y a la más reciente encuesta del Instituto Ciencia y Tecnología de la Universidad Francisco Gavidia, la intención de voto de los salvadoreños revela que Joel Sánchez cuenta con un respaldo de hasta 2.7 % mientras que el Presidente Nayib Bukele posee un 70.9 %.  #ClasePolítica | Ronal Umaña afirma que habría segunda vuelta para las elecciones presidenciales, destacando que el candidato de ARENA, Joel Sánchez, tiene ""cierta ventaja"" con el voto en el exterior.Vía: @NatanVaquiz. pic.twitter.com/I30qNCyOaT— Última Hora (@ultimahsv) 16 de enero de 2024 ",2024-01-16 09:40:00,https://ultimahora.sv/ronal-umana-joel-sanchez-tiene-ventaja-con-el-voto-en-el-exterior/,Clase política,Última Hora SV,Web Page
Redacción UH,UFG: Nayib Bukele ganaría elección presidencial en primera vuelta,"Según el nuevo estudio de opinión pública presentado hoy, por la Universidad Francisco Gavidia (UFG), el actual presidente de El Salvador, Nayib Bukele, ganaría la elección presidencial de este año, en primera vuelta.  Bukele. de Nuevas Ideas, obtendría el 70.9 % de los votos, según la encuesta, mientras que el candidato del FMLN, Manuel «El Chino» Flores, alcanzaría apenas el 2.9, le sigue Joel Sánchez, de ARENA, con 2,7 y en último lugar, Luis Parada de Nuestro Tiempo con 1.1 %.  Asimismo, Nayib Bukele es la figura pública con la imagen más positiva de El Salvador con 81.5 %, mientras que Luis Parada y Joel Sánchez, son los candidatos más desconocidos según el estudio.   #EleccionesElSalvador2024 | @nayibbukele ganaría la elección de 2024 en primera vueltaLa intención de voto de la población sobrepasa el 70 %, según la encuesta del Instituto Ciencia y Tecnología de la Universidad Francisco Gavidia. ⬇️https://t.co/LK3o5XvrpO— Diario El Salvador (@elsalvador) 16 de enero de 2024 ",2024-01-16 09:03:00,https://ultimahora.sv/ufg-nayib-bukele-ganaria-eleccion-presidencial-en-primera-vuelta/,Clase políticaLo Último,Última Hora SV,Web Page
Redacción UH,Salvadoreños en el exterior se organizan para votación masiva,"Los salvadoreños en el exterior se han organizado a través de redes sociales para emitir correctamente y fácil, el voto en el exterior de forma remota por Internet, esto como un apoyo al Presidente de la República, Nayib Bukele.  Muestra de ello, es la usuaria de X, Laura PocaSV, quien hizo un video explicando la forma correcta de votar e insistió que los connacionales que tienen DUI con dirección en el extranjero ya pueden votar por Internet. Asimismo, recordó que los DUI con dirección de El Salvador y pasaporte podrán votar el próximo 4 de febrero y para reportar cualquier inconveniente deben llamar al número 1-833-486-2290.    #VotoEnElExterior 🇸🇻✅Dirección En El Extranjero pueden votar Ya! En https://t.co/sfFdEe2Qo7 desde cualquier lugar del 🌎✅Dirección En El Salvador y Pasaporte votan el 4 de Febrero. ✅Cancillería te pueden ayudar a guiarte como votar paso a paso a través del 1-833-607-1560… pic.twitter.com/oZqeQEYtJN— Laura PocaSV (@LauraPocaSV) 16 de enero de 2024 ",2024-01-16 08:32:00,https://ultimahora.sv/salvadorenos-en-el-exterior-se-organizan-para-votacion-masiva/,Clase políticaLo Último,Última Hora SV,Web Page
Redacción UH,Ex técnico de la Selección afirma que Gobierno debe intervenir en fútbol salvadoreño,"El ex técnico de la Selección de El Salvador, Hugo Pérez, afirmó que el Gobierno debe intervenir en el fútbol salvadoreño para que este deporte mejore su imagen, aunque la FIFA tome una sanción de dos años.  «Nosotros no tenemos gente capacitada, entonces esa liga (mayor) tiene que desaparecer y el gobierno entrar a ayudar para buscar a 10 patrocinadores que pongan cierto dinero, patrocinar la liga, entonces ya ponés a gente adecuada, estudiada en finanzas para que busquen un contrato, patrocinios para jugadores y liga», afirmó Pérez. El ex técnico criticó a la dirigencia que no dejan sus puestos por orgullo, que pese a que el prestigio de este deporte está en las peores de las condiciones, la gente que está dentro no tiene iniciativa de impulsarlo internacionalmente.  #Nacionales | El ex técnico de la selección de El Salvador, Hugo Pérez, dijo que aunque la FIFA castigue 2 años al fútbol salvadoreño, el Gobierno debe intervenir para que este deporte cambie su imagen. pic.twitter.com/ZQOOqFBGS8— Última Hora (@ultimahsv) 16 de enero de 2024 ",2024-01-15 21:37:00,https://ultimahora.sv/ex-tecnico-de-la-seleccion-afirma-que-gobierno-debe-intervenir-en-futbol-salvadoreno/,Lo Últimoportada,Última Hora SV,Web Page
Redacción UH,"Cifra de homicidios de niños se dispara en Ecuador, según UNICEF","Según datos del Fondo de las Naciones Unidas para la Infancia (UNICEF), la cifra de homicidios se ha disparado en los últimos años en Ecuador a causa de la ola de violencia que atraviesa ese país, solo en 2023, se reportaron 770 asesinatos de niños y adolescentes.  «En los últimos meses, las muertes de niños, niñas y adolescentes han aumentado drásticamente debido a un incremento dramático del crimen en varias partes de Ecuador», aseguró el Director Regional de Unicef para América Latina y el Caribe, Garry Conille.   Asimismo, la nación suramericana reporta un incremento de reclutamientos forzados  de adolescentes, por parte de grupos criminales que operan en toda la nación y que ha elevado la preocupación de la comunidad internacional.   #DePlaneta Violencia en Ecuador dispara el número de homicidios de niños, según UnicefSegún (Unicef), el ministerio del Interior de Ecuador ha reportado al menos 770 asesinatos de niños y adolescentes durante 2023. Clic ⬇️https://t.co/OVAcFB9J1o— Diario El Salvador (@elsalvador) 16 de enero de 2024 ",2024-01-15 20:56:00,https://ultimahora.sv/cifra-de-homicidios-de-ninos-se-dispara-en-ecuador-segun-unicef/,InternacionalesLo Último,Última Hora SV,Web Page
Redacción UH,Gobierno vigila precios de la canasta básica,"El Gobierno a través de diferentes instituciones como la Defensoría del Consumidor vigilia el comportamiento de los precios de los productos de la canasta básica con el objetivo de proteger el bolsillo de la población, garantizando que no haya alza injustificada en los costos. «De momento, ya hemos realizado dos inspecciones a grandes importadores y comercializadores de productos como este (harina) y de granos básicos como frijol, maíz y arroz, entre otros», expresó el presidente de la Defensoría, Ricardo Salazar.  Es por eso, que este lunes inspectores de la institución se trasladaron a la planta de producción de harinas de la empresa Molinos de El Salvador (Molsa) para verificar el precio real de los productos que ofrecen las distribuidoras y que no haya escasez de alimentos.   #CombateALaEspeculacion | Gobierno de El Salvador vigila precios de productos esenciales de la canasta básica para proteger la economía de la poblaciónEl Gobierno de El Salvador no descansa en su labor de vigilar el comportamiento del mercado nacional a fin de que se respeten… pic.twitter.com/x1fvsIJlZO— Secretaría de Prensa de la Presidencia (@SecPrensaSV) 15 de enero de 2024 ",2024-01-15 19:07:00,https://ultimahora.sv/gobierno-vigila-precios-de-la-canasta-basica/,Lo Últimoportada,Última Hora SV,Web Page
Redacción UH,Secretario del FMLN y sus negocios oscuros con torres de telefonía en Santa Tecla,"El secretario general del FMLN, Oscar Ortiz, fue vinculado con una estructura mafiosa en Santa Tecla, a causa de negociociaciones ilícitas con la colocación de torres de telefonía cuando fungió como alcalde del municipio. El militante del FMLN no cumplió con los convenios firmados con los representantes COLLOCATION TECHNOLOGIES EL SALVADOR, LTDA DE C.V. sobre la colocación de antenas telefónicas. En ese momento, Jorge Leonel Gaitán Paredes, estaba vinculado con dicha empresa. Por su parte, su hijo, Jorge Alberto Gaitán Castro, tiene varios casos abiertos, y está estrechamente relacionado al caso. Gaitán informó, en nombre de la alcaldía tecleña, que todos los convenios quedaban sin efecto. Además, se revocaron los permisos para la instalación de las antenas, pese a que la empresa ya había invertido $1.2 millones para la instalación de torres de señal telefónica. Por ello, Ortiz ha sido denunciado ante la Fiscalía General de la República (FGR) por actos de corrupción. De ser declarados culpables, los involucrados recibirían condenas por actos arbitrarios, cohecho activo y negociaciones ilícitas. ",2024-01-15 12:35:00,https://ultimahora.sv/secretario-del-fmln-y-sus-negocios-oscuros-con-torres-de-telefonia-en-santa-tecla/,Clase políticaClase Política,Última Hora SV,Web Page
Redacción UH,Tahnya Pastor: La oposición es cínica y cobarde,"Esta mañana, durante una entrevista, la abogada Tahnya Pastor arremetió contra los partidos de oposición al calificarlos como cínicos y cobardes, al referirse a los obstáculos e intentos de sabotaje para impedir que el Presidente Nayib Bukele corriera como candidato a la presidencia por primera ocasión. «Aquí tenemos una oposición no solo cínica sino que además cobarde. Hubo un intento de que el Presidente Bukele no corriera como candidato a presidente», aseveró Pastor. Asimismo, señaló que la oposición carece de proyectos, además de que no entienden que ya no son mayoría y que los salvadoreños ya no quieren que vuelvan. «La marca ARENA y FMLN ya no significa nada», destacó.  #ClasePolítica | ""Aquí tenemos una oposición no solo cínica sino que además cobarde"", abogada Tahnya Pastor.Vía: Las Cosas Como Son. pic.twitter.com/ZS9FRsZGBj— Última Hora (@ultimahsv) 15 de enero de 2024 ",2024-01-15 07:50:00,https://ultimahora.sv/tahnya-pastor-la-oposicion-es-cinica-y-cobarde/,Clase política,Última Hora SV,Web Page
Redacción UH,El Salvador registra notable reducción en tasa de homicidios en los primeros 11 días del 2024,"La lucha contra la criminalidad en El Salvador, registra cifras históricas en la reducción de la tasa de homicidios, reportando un promedio diario mensual de 0.3 en los primeros 11 días del 2024, lo que significaría un 50 % menos en comparación al mismo período de año anterior. «La PNC registra 3 homicidios entre el 1 y el 11 de enero, un 50% menos que los 6 contabilizados en idéntico período del año 2023. Al ritmo actual, El Salvador cerraría 2024 con 100 homicidios, para una tasa de 1.6 homicidios por cada 100,000 habitantes», detalló el periodista de la BBC Mundo, Roberto Valencia. De acuerdo con los datos recabados por Valencia, de fuentes de la Policía Nacional Civil (PNC) y la Mesa Técnica, muestran que en los últimos cinco meses del 2023, el promedio diario en la tasa de homicidios mensual en el país osciló entre los 0.5 y 0.7. Además, expuso el promedio anual en la tasa de homicidios en los últimos 4 años post pandemia y el último año pre pandemia, registrando:  2024: 0.3 2023: 0.62022: 1.72021: 3.1*2015: 18.2* ",2024-01-12 21:10:00,https://ultimahora.sv/el-salvador-registra-notable-reduccion-en-tasa-de-homicidios-en-los-primeros-11-dias-del-2024/,portadaPortadaSeguridad ciudadana,Última Hora SV,Web Page
